log_file,dataset,model_type,run_mode,seed,n_inters,checkpoint_path,ndcg_at20,hit_at20,mrr_at20,recall_at20,precision_at20,averagepopularity_at20,giniindex_at20,itemcoverage_at20,shannonentropy_at20,tailpercentage_at20,murr,ARP,APLT,ACLT,PopRSP,PopRSP_p_shorthead,PopRSP_p_longtail,PopREO,PopREO_p_shorthead,PopREO_p_longtail
murr-dataset/amazon-office/mcd/mcd_no_dis_alpha0_seed_2022_filter_.log,amazon-office,mcd,alpha0,2022,53258,saved/sasrec_mcd_Apr-30-2026_13-57-32.pth,0.0606,0.1515,0.0354,0.1515,0.0076,48.3136,0.6931,0.943,0.003,0.01,0.0,16.877931,0.845494,16.909888,0.149183,0.006547,0.008843,0.450126,0.012936,0.004905
murr-dataset/amazon-office/mcd/mcd_no_dis_alpha0_seed_2023_filter_.log,amazon-office,mcd,alpha0,2023,53258,saved/sasrec_mcd_Apr-30-2026_13-58-37.pth,0.0596,0.1507,0.0343,0.1507,0.0075,51.8245,0.7546,0.893,0.0031,0.0064,0.0,16.877931,0.845494,16.909888,0.149183,0.006547,0.008843,0.450126,0.012936,0.004905
murr-dataset/amazon-office/mcd/mcd_no_dis_alpha0_seed_2024_filter_.log,amazon-office,mcd,alpha0,2024,53258,saved/sasrec_mcd_Apr-30-2026_13-59-22.pth,0.0627,0.1545,0.0373,0.1545,0.0077,53.6237,0.7883,0.8542,0.0031,0.0052,0.0,16.877931,0.845494,16.909888,0.149183,0.006547,0.008843,0.450126,0.012936,0.004905
murr-dataset/amazon-office/mcd/mcd_no_dis_seed_2021_filter.log,amazon-office,mcd,no_dis,2021,53258,saved/sasrec_mcd_Apr-30-2026_13-56-48.pth,0.0596,0.1488,0.0346,0.1488,0.0074,52.4077,0.7696,0.8831,0.0031,0.0059,0.0,16.877931,0.845494,16.909888,0.149183,0.006547,0.008843,0.450126,0.012936,0.004905
murr-dataset/amazon-office/mcd/mcd_no_dis_seed_2022_filter_.log,amazon-office,mcd,no_dis,2022,53258,saved/sasrec_mcd_Apr-30-2026_13-57-55.pth,0.0605,0.1501,0.0355,0.1501,0.0075,49.3244,0.7086,0.9327,0.003,0.0087,0.0,16.877931,0.845494,16.909888,0.149183,0.006547,0.008843,0.450126,0.012936,0.004905
murr-dataset/amazon-office/mcd/mcd_no_dis_seed_2023_filter_.log,amazon-office,mcd,no_dis,2023,53258,saved/sasrec_mcd_Apr-30-2026_13-58-14.pth,0.0598,0.1492,0.0349,0.1492,0.0075,53.1335,0.7749,0.8691,0.0031,0.0053,0.0,16.877931,0.845494,16.909888,0.149183,0.006547,0.008843,0.450126,0.012936,0.004905
murr-dataset/amazon-office/mcd/mcd_no_dis_seed_2024_filter_.log,amazon-office,mcd,no_dis,2024,53258,saved/sasrec_mcd_Apr-30-2026_13-59-59.pth,0.0632,0.1562,0.0375,0.1562,0.0078,53.7491,0.7897,0.8521,0.0031,0.0051,0.0,16.877931,0.845494,16.909888,0.149183,0.006547,0.008843,0.450126,0.012936,0.004905
murr-dataset/amazon-office/bm/dirichlet_bm_a1_seed_2020_filter.log,amazon-office,bm,a1,2020,53258,saved/sasrec_dirichlet_no_dis_bm_Apr-23-2026_11-58-55.pth,0.0604,0.1441,0.0375,0.1441,0.0072,55.8354,0.7432,0.9298,0.0029,0.0079,0.151624,42.623598,0.287655,5.753109,0.818726,0.030185,0.003009,0.603891,0.295276,0.072923
murr-dataset/amazon-office/bm/dirichlet_bm_a1_seed_2021_filter.log,amazon-office,bm,a1,2021,53258,saved/sasrec_dirichlet_no_dis_bm_Apr-25-2026_11-44-41.pth,0.0577,0.1333,0.0368,0.1333,0.0067,56.4067,0.7518,0.9195,0.003,0.0079,0.15335,43.101855,0.274913,5.498267,0.828852,0.030725,0.002875,0.64708,0.28234,0.060497
murr-dataset/amazon-office/bm/dirichlet_bm_a1_seed_2022_filter.log,amazon-office,bm,a1,2022,53258,saved/sasrec_dirichlet_no_dis_bm_Apr-25-2026_11-45-36.pth,0.0599,0.1394,0.0379,0.1394,0.007,55.4225,0.7392,0.9327,0.0029,0.0082,0.158403,42.25948,0.294975,5.89949,0.812796,0.029875,0.003085,0.619311,0.285152,0.067037
